Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Jazz Chisholm,NYY,2B,28,130,462,75,112,15,1,31,80,31,8,58,148,1,4,6,.242,.332,.481,.813
Addison Barger,TOR,OF,26,135,460,61,112,32,1,21,74,4,1,36,121,0,2,3,.243,.301,.454,.755
Brendan Donovan,STL,2B,29,118,460,64,132,32,0,10,50,3,3,42,67,2,4,7,.287,.353,.422,.775
Mike Trout,LAA,OF,34,130,456,73,106,14,1,26,64,2,0,87,178,0,6,6,.232,.359,.439,.798
Matt Chapman,SF,3B,32,128,454,76,105,23,2,21,61,9,4,71,126,0,4,6,.231,.340,.430,.770
Zach McKinstry,DET,SS,30,144,452,68,117,23,11,12,49,19,5,46,111,1,5,7,.259,.333,.438,.771
Alejandro Kirk,TOR,C,27,130,451,45,127,18,0,15,76,1,0,48,59,0,6,1,.282,.348,.421,.769
Chase Meidroth,CWS,SS,24,122,450,54,114,15,0,5,23,14,4,45,72,3,1,6,.253,.329,.320,.649
Angel Martinez,CLE,OF,24,139,446,56,100,23,2,11,45,8,2,23,110,5,4,6,.224,.269,.359,.628
Gavin Lux,CIN,OF,28,140,446,49,120,28,2,5,53,1,0,56,114,0,1,0,.269,.350,.374,.724
Caleb Durbin,MIL,3B,26,136,445,60,114,25,0,11,53,18,6,30,50,3,4,24,.256,.334,.387,.721
Cam Smith,HOU,OF,23,134,441,55,104,21,3,9,51,8,1,43,137,0,2,7,.236,.312,.358,.670
Jackson Merrill,SD,OF,22,115,440,59,116,25,6,16,67,1,2,33,108,1,5,4,.264,.317,.457,.774
Nathaniel Lowe,WSH,1B,30,119,440,50,95,17,2,16,68,1,0,47,130,0,2,1,.216,.292,.373,.665
Dillon Dingler,DET,C,27,126,435,54,121,21,2,13,57,0,0,23,110,0,1,9,.278,.327,.425,.752
Mickey Moniak,COL,OF,27,135,434,62,117,20,8,24,68,9,3,22,110,0,3,2,.270,.306,.518,.824
Alex Bregman,BOS,3B,31,114,433,64,118,28,0,18,62,1,1,51,70,0,2,9,.273,.360,.462,.822
Alek Thomas,ARI,OF,25,143,433,51,108,19,3,9,38,7,4,21,122,6,4,5,.249,.289,.370,.659
Kerry Carpenter,DET,OF,28,130,433,66,109,18,5,26,62,1,1,18,106,0,2,7,.252,.291,.497,.788
Gabriel Arias,CLE,SS,26,129,432,44,95,25,2,11,54,8,4,27,162,1,4,7,.220,.274,.363,.637
Mark Vientos,NYM,3B,26,121,424,44,99,21,2,17,61,1,0,30,115,0,4,5,.233,.289,.413,.702
Logan O'Hoppe,LAA,C,26,119,423,35,90,8,1,19,43,2,1,24,139,1,1,2,.213,.258,.371,.629
Andrew Benintendi,CWS,OF,31,116,420,57,101,16,2,20,63,1,0,40,82,0,6,3,.240,.307,.431,.738
Nick Kurtz,ATH,1B,23,117,420,90,122,26,2,36,86,2,1,63,151,0,3,2,.290,.383,.619,1.002
Jake Cronenworth,SD,2B,32,135,419,61,103,20,1,11,59,3,3,69,107,4,7,15,.246,.367,.377,.744
Wilmer Flores,SF,1B,34,125,419,44,101,10,0,16,71,1,0,34,88,0,3,7,.241,.307,.379,.686
Michael Conforto,LAD,OF,33,138,418,54,83,20,0,12,36,1,0,56,121,0,3,9,.199,.305,.333,.638
Javier Baez,DET,SS,33,126,417,55,107,17,3,12,57,5,1,10,109,0,3,6,.257,.282,.398,.680
Max Kepler,PHI,OF,33,127,417,58,90,19,0,18,52,3,0,48,93,1,4,4,.216,.300,.391,.691
Austin Riley,ATL,3B,28,102,416,54,108,20,1,16,54,2,1,27,128,0,1,3,.260,.309,.428,.737
Colt Keith,DET,3B,24,137,414,65,106,22,2,13,45,1,1,48,102,0,4,2,.256,.333,.413,.746
Chandler Simpson,TB,OF,25,109,414,53,122,15,3,0,26,44,12,20,43,3,2,0,.295,.326,.345,.671
Patrick Bailey,SF,C,26,135,409,47,91,18,3,6,55,1,0,30,133,4,6,3,.222,.277,.325,.602
Ryan Jeffers,MIN,C,28,119,406,47,108,26,0,9,47,1,1,50,91,0,1,7,.266,.356,.397,.753
Jake Mangum,TB,OF,30,118,405,37,120,18,1,3,40,27,6,19,64,1,1,2,.296,.330,.368,.698
Drake Baldwin,ATL,C,24,124,405,56,111,18,2,19,80,0,0,38,68,0,0,3,.274,.341,.469,.810
Carlos Narvaez,BOS,C,27,118,403,51,97,27,0,15,50,1,1,38,111,2,2,1,.241,.306,.419,.725
Isiah Kiner-Falefa,PIT,SS,30,119,401,40,106,20,2,1,35,15,4,17,69,5,1,4,.264,.300,.332,.632
Austin Wells,NYY,C,26,126,401,51,88,22,1,21,71,5,1,30,118,0,11,5,.219,.275,.436,.711
Nolan Arenado,STL,3B,34,107,401,48,95,18,1,12,52,3,0,28,49,0,4,3,.237,.289,.377,.666
Kyle Stowers,MIA,OF,28,117,399,61,115,21,3,25,73,5,1,48,125,1,4,5,.288,.368,.544,.912
Jeff McNeil,NYM,2B,33,122,399,42,97,21,5,12,54,3,0,49,55,2,4,8,.243,.335,.411,.746
Victor Scott,STL,OF,25,138,398,54,86,15,1,5,37,34,4,42,111,10,3,10,.216,.305,.296,.601
Carlos Santana,CLE,1B,39,116,396,49,89,10,0,11,52,7,0,52,86,0,4,3,.225,.316,.333,.649
Josh Lowe,TB,OF,28,108,396,56,87,21,2,11,40,18,4,33,109,1,2,3,.220,.283,.366,.649
Jonah Heim,TEX,C,30,124,395,38,84,14,0,11,43,3,0,32,88,1,4,1,.213,.271,.332,.603
Brett Baty,NYM,3B,26,130,393,53,100,13,2,18,50,8,0,33,108,0,3,2,.254,.313,.435,.748
Matt Shaw,CHC,3B,24,126,393,57,89,21,3,13,44,17,5,38,94,0,4,2,.226,.295,.394,.689
Tommy Pham,PIT,OF,38,120,392,44,96,17,1,10,52,5,3,50,94,0,5,2,.245,.330,.370,.700
Ivan Herrera,STL,DH,25,107,388,54,110,13,0,19,66,8,2,43,84,0,4,15,.284,.373,.464,.837
Nathan Lukes,TOR,OF,31,135,388,55,99,19,2,12,65,2,4,38,60,7,3,2,.255,.323,.407,.730
Eugenio Suarez,ARI,3B,34,106,387,64,96,19,0,36,87,1,0,29,117,0,6,15,.248,.320,.576,.896
Luis Robert,CWS,OF,28,110,382,52,85,12,0,14,53,33,8,40,112,1,3,2,.223,.297,.364,.661
Jasson Dominguez,NYY,OF,23,123,381,58,98,18,1,10,47,23,5,41,115,0,4,3,.257,.331,.388,.719
Nick Gonzales,PIT,2B,26,96,381,39,99,18,3,5,30,0,2,21,73,0,4,2,.260,.299,.362,.661
Austin Hays,CIN,OF,30,103,380,60,101,16,5,15,64,7,0,29,107,0,6,1,.266,.315,.453,.768
Corey Seager,TEX,SS,31,102,380,61,103,19,0,21,50,3,0,58,87,0,2,5,.271,.373,.487,.860
Brandon Marsh,PHI,OF,28,133,379,59,106,25,2,11,43,7,1,38,110,3,4,0,.280,.342,.443,.785
Daniel Schneemann,CLE,2B,29,131,379,48,78,18,1,12,41,9,3,38,117,1,1,3,.206,.283,.354,.637
Isaac Paredes,HOU,3B,27,102,378,53,96,15,1,20,53,0,1,50,76,0,2,8,.254,.352,.458,.810
Tyler Freeman,COL,OF,26,110,377,50,106,20,2,2,31,18,9,34,51,2,4,11,.281,.354,.361,.715
Royce Lewis,MIN,3B,26,106,376,36,89,18,0,13,52,12,2,25,80,0,2,0,.237,.283,.388,.671
Wilyer Abreu,BOS,OF,26,115,373,53,92,17,0,22,69,6,3,40,101,1,3,0,.247,.317,.469,.786
Isaac Collins,MIL,OF,28,130,372,56,98,22,3,9,54,16,7,57,93,3,3,6,.263,.368,.411,.779
Nick Allen,ATL,SS,27,135,371,32,82,11,0,0,22,8,7,31,99,8,3,3,.221,.284,.251,.535
Jonathan Aranda,TB,1B,27,106,370,56,117,22,0,14,59,0,2,41,107,0,3,8,.316,.393,.489,.882
Ke'Bryan Hayes,PIT,3B,29,100,369,34,87,10,2,2,36,10,2,18,81,1,0,4,.236,.279,.290,.569
Carson Kelly,CHC,C,31,111,369,48,92,13,1,17,50,2,0,45,80,0,4,3,.249,.333,.428,.761
Mauricio Dubon,HOU,OF,31,133,369,43,89,21,0,7,33,3,0,24,42,3,1,1,.241,.289,.355,.644
Kyle Isbel,KC,OF,29,135,368,42,94,16,4,4,33,4,5,23,74,13,3,2,.255,.301,.353,.654
Edgar Quero,CWS,C,22,111,365,31,98,17,0,5,36,0,1,32,71,0,2,4,.268,.333,.356,.689
Spencer Horwitz,PIT,1B,28,108,364,55,99,26,0,11,51,0,1,44,73,0,1,2,.272,.353,.434,.787
Jordan Walker,STL,OF,23,111,363,40,78,13,1,6,41,10,3,29,126,0,1,3,.215,.278,.306,.584
Will Smith,LAD,C,30,110,362,64,107,20,1,17,61,2,3,64,89,0,5,5,.296,.404,.497,.901
Pedro Pages,STL,C,27,112,361,38,83,15,0,11,45,0,0,19,107,3,3,3,.230,.272,.363,.635
Ezequiel Tovar,COL,SS,24,95,360,44,91,18,4,9,33,5,3,21,98,6,2,1,.253,.294,.400,.694
Bo Naylor,CLE,C,26,123,359,46,70,22,1,14,47,1,2,45,99,3,6,1,.195,.282,.379,.661
Jake Burger,TEX,1B,29,103,356,43,84,15,1,16,53,1,1,12,93,0,3,5,.236,.269,.419,.688
Nolan Jones,CLE,OF,27,136,355,34,75,14,2,5,34,8,3,39,113,1,3,5,.211,.296,.304,.600
Nolan Gorman,STL,2B,25,111,351,48,72,14,1,14,46,1,1,47,136,0,4,0,.205,.296,.370,.666
Ty France,MIN,1B,31,101,350,41,88,19,0,6,44,1,0,19,63,0,1,17,.251,.320,.357,.677
Ryan McMahon,COL,3B,31,100,350,42,76,15,1,16,35,2,1,49,127,0,1,1,.217,.314,.403,.717
Josh Naylor,ARI,1B,28,93,349,49,102,19,1,11,59,11,2,37,49,0,4,2,.292,.360,.447,.807
Tommy Edman,LAD,2B,30,97,346,49,78,13,1,13,49,3,1,19,61,1,5,6,.225,.274,.382,.656
Brayan Rocchio,CLE,SS,25,115,344,34,80,18,2,5,44,8,4,22,77,4,5,8,.233,.290,.340,.630
Wenceel Perez,DET,OF,26,100,344,47,84,17,4,13,43,8,3,31,87,0,5,3,.244,.308,.430,.738
Victor Caratini,HOU,C,32,114,344,35,89,14,0,12,46,1,0,23,65,0,6,13,.259,.324,.404,.728
Jake Meyers,HOU,OF,29,104,343,53,100,15,2,3,24,16,5,31,67,2,2,3,.292,.354,.373,.727
Kody Clemens,MIN,1B,29,112,342,46,74,12,4,19,52,5,1,28,93,2,2,5,.216,.284,.442,.726
Noelvi Marte,CIN,OF,24,90,339,45,89,17,2,14,51,10,3,16,85,0,2,3,.263,.300,.448,.748
Ronald Acuna,ATL,OF,28,95,338,74,98,12,1,21,42,9,1,71,102,0,0,3,.290,.417,.518,.935
Carlos Correa,MIN,3B,31,93,337,40,90,19,0,7,31,0,0,26,68,0,1,0,.267,.319,.386,.705
Matt Wallner,MIN,OF,28,104,336,47,68,16,3,22,40,4,3,46,114,0,2,8,.202,.311,.464,.775
