Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Nick Yorke,PIT,2B,23,22,69,7,16,3,0,1,8,1,0,3,15,0,0,0,.232,.264,.319,.583
Matthew Lugo,LAA,OF,24,31,69,9,16,2,1,4,9,0,0,0,24,0,0,1,.232,.243,.464,.707
Garrett Mitchell,MIL,OF,27,25,68,9,14,4,1,0,3,3,0,7,25,1,1,1,.206,.286,.294,.580
Danny Jansen,MIL,C,30,25,67,10,17,3,0,3,7,0,0,9,18,0,1,1,.254,.346,.433,.779
Tim Elko,CWS,1B,27,23,67,6,9,1,0,4,8,1,0,5,30,0,0,0,.134,.194,.328,.522
Andres Chaparro,WSH,1B,26,34,66,4,12,2,0,1,5,0,0,5,22,0,1,1,.182,.247,.258,.505
Jordan Lawlar,ARI,3B,23,28,66,9,12,7,0,0,5,2,0,6,26,0,1,1,.182,.257,.288,.545
Sean Bouchard,COL,OF,29,32,66,7,11,0,1,1,7,1,1,7,27,0,0,0,.167,.247,.242,.489
Jacob Amaya,CWS,SS,27,37,66,7,7,1,0,0,8,2,0,3,16,1,3,0,.106,.139,.121,.260
Seth Brown,ATH,OF,33,38,65,6,12,2,0,1,3,1,0,9,23,0,0,2,.185,.303,.262,.565
Everson Pereira,TB,OF,24,23,65,7,9,1,0,2,8,2,0,7,28,0,1,0,.138,.219,.246,.465
LaMonte Wade,LAA,1B,32,30,65,7,11,0,0,1,3,1,0,6,23,0,0,2,.169,.260,.215,.475
Ben Rortvedt,TB,C,28,26,63,2,6,1,0,0,6,0,0,7,14,0,0,0,.095,.186,.111,.297
Austin Wynns,ATH,C,35,22,63,7,14,5,0,3,10,0,0,2,20,1,1,0,.222,.242,.444,.686
Anthony Seigler,MIL,3B,26,34,62,6,12,1,0,0,5,2,0,8,16,1,1,1,.194,.292,.210,.502
Connor Joe,CIN,OF,33,35,61,2,13,4,0,0,4,2,2,6,14,0,2,1,.213,.286,.279,.565
Jose Fermin,STL,2B,26,30,60,5,17,5,0,1,9,2,2,8,10,1,0,1,.283,.377,.417,.794
MJ Melendez,KC,OF,27,23,60,5,5,2,0,1,1,0,0,3,23,0,0,2,.083,.154,.167,.321
Jarred Kelenic,ATL,OF,26,24,60,7,10,2,0,2,2,0,1,5,23,0,0,0,.167,.231,.300,.531
Will Robertson,CWS,OF,28,24,60,2,8,1,0,0,8,0,0,1,20,0,1,1,.133,.159,.150,.309
Blake Dunn,CIN,OF,27,30,60,10,9,2,0,1,7,1,1,8,25,0,0,7,.150,.320,.233,.553
Carter Jensen,KC,C,22,20,60,12,18,6,0,3,13,0,0,9,12,0,0,0,.300,.391,.550,.941
Oscar Gonzalez,SD,OF,28,21,59,2,13,1,0,0,4,0,1,2,13,0,0,0,.220,.246,.237,.483
Gustavo Campero,LAA,OF,28,28,58,9,10,1,0,3,8,4,1,5,14,0,0,3,.172,.273,.345,.618
Moises Ballesteros,CHC,DH,22,20,57,12,17,2,1,2,11,0,0,9,12,0,0,0,.298,.394,.474,.868
Jonny DeLuca,TB,OF,27,20,57,5,19,1,3,0,4,6,0,2,13,0,0,0,.333,.356,.456,.812
Nathan Church,STL,OF,25,27,56,9,10,1,0,1,8,1,0,3,18,2,1,3,.179,.254,.250,.504
Jorbit Vivas,NYY,2B,25,29,56,6,9,2,0,1,5,0,0,5,13,0,0,3,.161,.266,.250,.516
Joey Wiemer,MIA,OF,27,27,55,7,13,2,0,3,12,0,0,2,23,0,2,2,.236,.279,.436,.715
Jerar Encarnacion,SF,OF,28,19,55,5,11,3,0,2,7,1,0,1,15,0,0,0,.200,.214,.364,.578
Sal Stewart,CIN,1B,22,18,55,11,14,1,0,5,8,0,0,3,15,0,0,0,.255,.293,.545,.838
Vinny Capra,MIL,3B,29,24,54,6,4,0,0,1,4,1,0,2,15,1,1,1,.074,.121,.130,.251
Nick Maton,CWS,3B,29,25,54,5,9,2,0,2,4,0,1,9,19,0,0,0,.167,.286,.315,.601
Blaine Crim,COL,1B,28,15,54,9,13,2,0,5,12,0,0,5,22,0,2,0,.241,.295,.556,.851
Maximo Acosta,MIA,3B,23,19,54,7,11,1,0,3,5,1,2,6,17,0,0,1,.204,.295,.389,.684
Sam Huff,SF,C,28,20,53,5,11,1,0,2,4,0,0,4,25,0,1,0,.208,.259,.340,.599
Endy Rodriguez,PIT,1B,25,18,52,5,9,4,0,0,2,0,1,5,14,0,0,0,.173,.246,.250,.496
Sam Hilliard,COL,OF,32,20,51,8,10,3,1,2,3,2,1,10,23,0,0,0,.196,.328,.412,.740
Stuart Fairchild,ATL,OF,30,28,51,7,11,4,1,0,2,2,1,4,15,0,0,0,.216,.273,.333,.606
Zack Short,HOU,SS,30,22,50,9,11,2,0,2,7,0,1,4,18,1,0,1,.220,.291,.380,.671
Luis Vazquez,BAL,3B,26,36,50,6,8,1,0,1,3,2,0,3,14,0,0,0,.160,.208,.240,.448
Tyler Tolbert,KC,OF,28,64,50,19,14,2,0,1,6,21,2,1,11,1,2,3,.280,.321,.380,.701
Drew Millas,WSH,C,28,18,49,6,15,5,1,0,7,2,0,4,7,1,0,0,.306,.358,.449,.807
Ben Rortvedt,LAD,C,28,18,49,7,11,2,0,1,4,0,0,4,9,3,0,2,.224,.309,.327,.636
Brett Wisely,SF,2B,26,22,48,5,10,4,0,1,10,1,1,4,10,2,0,0,.208,.269,.354,.623
Jace Jung,DET,3B,25,21,47,8,5,0,0,0,3,0,0,7,16,0,0,1,.106,.236,.106,.342
Zach Cole,HOU,OF,25,15,47,9,12,2,0,4,11,3,0,5,20,0,0,0,.255,.327,.553,.880
Bryan De La Cruz,ATL,OF,29,16,47,1,9,1,0,0,0,1,0,3,18,0,0,0,.191,.240,.213,.453
Ronny Simon,MIA,OF,25,19,47,6,11,2,0,0,5,0,0,7,7,1,1,0,.234,.327,.277,.604
Brandon Lockridge,MIL,OF,29,20,46,8,12,3,1,0,6,2,0,4,12,1,2,0,.261,.308,.370,.678
Ryan Fitzgerald,MIN,SS,31,24,46,10,9,0,0,4,9,1,0,7,8,0,0,0,.196,.302,.457,.759
Jimmy Crooks,STL,C,24,15,45,3,6,0,1,1,1,0,0,0,17,0,0,1,.133,.152,.244,.396
Vidal Brujan,CHC,3B,28,36,45,6,10,3,0,0,3,2,1,1,12,0,1,0,.222,.234,.289,.523
Luke Maile,KC,C,35,25,45,6,11,2,0,1,6,1,0,7,16,2,0,0,.244,.346,.356,.702
Kevin Pillar,TEX,OF,37,20,43,6,9,2,0,0,1,3,0,0,8,0,0,0,.209,.209,.256,.465
Jared Young,NYM,DH,30,23,43,5,8,1,0,4,6,0,0,2,16,0,1,1,.186,.234,.488,.722
Rece Hinds,CIN,OF,25,15,43,6,5,1,0,2,3,0,0,1,21,0,0,0,.116,.136,.279,.415
Denzer Guzman,LAA,SS,22,13,42,4,8,1,0,2,3,0,0,1,22,0,0,0,.190,.209,.357,.566
Richie Palacios,TB,OF,28,17,42,10,14,2,0,1,3,4,0,5,9,0,1,0,.333,.396,.452,.848
Austin Barnes,LAD,C,36,13,42,4,9,3,0,0,2,0,0,1,14,1,0,0,.214,.233,.286,.519
Brice Matthews,HOU,2B,24,13,42,6,7,0,0,4,9,1,0,2,20,2,0,1,.167,.222,.452,.674
Vinny Capra,CWS,3B,29,23,42,4,8,2,0,0,2,1,0,1,10,2,1,0,.190,.205,.238,.443
Maverick Handley,BAL,C,28,16,41,2,3,0,0,0,3,0,0,2,18,2,1,1,.073,.133,.073,.206
Trenton Brooks,SD,DH,30,25,41,5,6,2,0,1,2,0,0,2,13,0,0,0,.146,.186,.268,.454
Daz Cameron,MIL,OF,29,21,41,7,8,1,0,1,3,1,0,1,13,0,0,0,.195,.214,.293,.507
Vidal Brujan,ATL,3B,28,24,41,8,11,2,0,0,5,0,0,5,9,0,0,1,.268,.362,.317,.679
George Valera,CLE,DH,25,16,41,7,9,2,0,2,5,0,0,7,13,0,0,0,.220,.333,.415,.748
Matt Gorski,PIT,1B,28,15,41,2,8,0,1,2,4,0,1,1,16,0,0,0,.195,.214,.390,.604
Jhonny Pereda,ATH,C,29,19,40,3,7,2,0,0,3,0,0,6,13,0,0,0,.175,.283,.225,.508
Dustin Harris,TEX,OF,26,19,40,5,8,3,0,1,2,1,1,3,13,0,0,0,.200,.256,.350,.606
Austin Wynns,CIN,C,35,18,40,6,16,3,0,3,11,0,0,3,12,0,0,0,.400,.442,.700,1.142
Alan Trejo,COL,SS,29,14,40,3,7,2,0,0,1,0,0,1,7,1,1,0,.175,.190,.225,.415
Jonah Bride,MIA,3B,30,12,40,3,4,0,0,0,2,0,0,5,15,0,0,0,.100,.200,.100,.300
James Outman,LAD,OF,28,22,39,8,4,1,0,2,4,0,0,4,18,0,0,1,.103,.205,.282,.487
Kris Bryant,COL,DH,34,11,39,2,6,2,0,0,1,0,0,2,13,0,0,0,.154,.195,.205,.400
Jorge Alfaro,WSH,C,32,14,39,3,10,2,0,0,3,1,0,0,14,0,0,0,.256,.256,.308,.564
Austin Nola,COL,C,36,15,38,2,7,1,0,0,1,0,0,2,5,1,0,0,.184,.225,.211,.436
Ryan Kreidler,DET,OF,28,17,38,5,4,0,0,0,0,2,0,4,19,2,0,0,.105,.190,.105,.295
Alan Roden,MIN,OF,26,12,38,5,6,1,0,1,1,1,0,0,13,0,0,2,.158,.200,.263,.463
Oliver Dunn,MIL,3B,28,14,36,4,6,2,0,0,6,1,0,2,11,2,1,0,.167,.205,.222,.427
Cam Devanney,PIT,3B,28,14,36,1,5,1,0,0,1,0,1,2,21,0,0,0,.139,.184,.167,.351
Jose Miranda,MIN,3B,27,12,36,2,6,0,0,1,5,0,0,0,13,0,0,0,.167,.167,.250,.417
Yuli Gurriel,SD,1B,41,16,36,2,4,1,0,0,3,0,0,4,8,0,0,0,.111,.200,.139,.339
Chris Taylor,LAD,OF,35,28,35,4,7,2,0,0,2,0,1,0,13,0,0,0,.200,.200,.257,.457
Jacob Stallings,BAL,C,36,14,35,1,4,1,0,0,3,0,0,1,9,0,0,0,.114,.139,.143,.282
Tomas Nido,DET,C,31,11,35,4,12,0,0,0,2,0,0,0,10,1,0,1,.343,.361,.343,.704
Korey Lee,CWS,C,27,26,35,10,9,3,0,1,3,0,0,4,7,1,0,0,.257,.333,.429,.762
Ryan Bliss,SEA,2B,26,11,35,1,7,1,0,1,3,2,2,4,11,0,0,0,.200,.282,.314,.596
Zac Veen,COL,OF,24,12,34,1,4,1,0,1,2,1,1,2,14,0,0,1,.118,.189,.235,.424
Ryan Noda,CWS,1B,29,16,34,3,3,0,0,1,1,0,0,10,19,1,0,0,.088,.295,.176,.471
Luken Baker,STL,DH,29,19,34,3,8,3,0,0,2,0,0,7,10,0,0,0,.235,.366,.324,.690
Amed Rosario,NYY,3B,30,16,33,1,10,3,0,1,5,0,0,0,9,0,0,0,.303,.303,.485,.788
Sebastian Rivero,LAA,C,27,11,33,4,6,2,0,0,2,1,0,1,9,0,0,0,.182,.206,.242,.448
Victor Mesa,MIA,OF,24,16,32,7,6,2,0,1,6,0,0,5,5,1,0,0,.188,.297,.344,.641
Jose Siri,NYM,OF,30,16,32,7,2,2,0,0,1,2,0,4,17,0,0,0,.063,.167,.125,.292
Shay Whitcomb,HOU,2B,27,20,32,4,4,0,0,1,1,0,0,0,10,0,0,0,.125,.125,.219,.344
Dominic Fletcher,CWS,OF,28,12,32,5,7,5,0,1,2,1,0,2,2,0,0,0,.219,.265,.469,.734
Aaron Schunk,COL,SS,28,16,32,1,6,1,0,0,0,0,0,0,10,1,0,0,.188,.188,.219,.407
Pablo Reyes,NYY,OF,32,25,31,4,6,1,0,0,2,1,0,2,10,1,0,0,.194,.242,.226,.468
Travis Jankowski,TB,OF,34,14,31,6,8,2,0,0,2,2,0,2,9,0,1,0,.258,.294,.323,.617
Orlando Arcia,ATL,SS,31,14,31,1,6,1,0,0,1,0,0,1,8,0,0,0,.194,.219,.226,.445
Luke Williams,ATL,SS,29,45,31,5,4,2,0,0,5,5,0,1,9,0,1,1,.129,.176,.194,.370
Garrett Hampson,ARI,OF,31,18,30,10,5,0,0,0,0,2,1,9,10,2,0,0,.167,.359,.167,.526
Isiah Kiner-Falefa,TOR,SS,30,19,30,5,7,1,0,1,5,0,0,0,8,0,0,1,.233,.258,.367,.625
Ronny Simon,PIT,OF,25,8,30,4,7,1,0,0,2,1,0,1,8,0,1,0,.233,.250,.267,.517
Jhonny Pereda,MIN,C,29,11,29,1,10,4,0,0,1,0,0,2,8,1,0,0,.345,.387,.483,.870
Leo Jimenez,TOR,2B,24,18,29,2,2,0,0,1,1,0,0,2,8,1,0,0,.069,.129,.172,.301
Jose Barrero,STL,OF,27,22,29,4,4,1,0,1,3,0,0,1,9,0,0,1,.138,.194,.276,.470
Garrett Hampson,STL,OF,31,35,29,9,3,1,0,0,1,1,0,1,13,1,0,0,.103,.133,.138,.271
Daniel Johnson,SF,OF,30,14,29,5,5,2,0,1,1,1,0,2,8,0,0,0,.172,.226,.345,.571
Carson McCusker,MIN,OF,27,16,29,0,5,0,0,0,1,0,1,1,16,0,0,0,.172,.200,.172,.372
Bryce Eldridge,SF,DH,21,10,28,1,3,2,0,0,4,0,0,7,13,0,1,1,.107,.297,.179,.476
Dylan Moore,TEX,2B,33,18,27,6,7,0,0,2,6,2,1,1,6,0,1,1,.259,.300,.481,.781
Scott Kingery,LAA,2B,31,19,27,3,4,1,0,0,0,1,1,2,11,0,0,0,.148,.207,.185,.392
Owen Caissie,CHC,OF,23,12,26,4,5,1,0,1,4,0,0,1,11,0,0,0,.192,.222,.346,.568
Austin Slater,NYY,OF,33,14,25,2,3,0,0,0,2,0,0,0,16,0,0,0,.120,.120,.120,.240
Daniel Johnson,BAL,OF,30,17,24,8,5,1,0,0,0,1,1,2,5,0,0,0,.208,.269,.250,.519
Jake Fraley,ATL,OF,30,9,23,2,7,1,0,0,0,0,1,1,8,0,0,0,.304,.333,.348,.681
Logan Davidson,LAA,1B,28,10,22,2,4,1,0,1,2,0,0,0,10,1,0,0,.182,.182,.364,.546
Tristin English,ARI,1B,28,7,22,0,2,1,0,0,1,0,0,1,8,0,0,0,.091,.130,.136,.266
Grant McCray,SF,OF,25,22,22,3,2,0,1,0,2,0,0,2,11,1,1,0,.091,.160,.182,.342
Mason McCoy,SD,SS,30,18,22,5,3,1,0,0,1,2,0,3,7,0,0,1,.136,.269,.182,.451
Michael Stefanic,TOR,2B,30,9,22,1,4,0,0,0,0,0,0,3,3,0,0,0,.182,.280,.182,.462
Esteury Ruiz,LAD,OF,27,19,21,2,4,0,0,1,2,4,0,2,8,0,0,0,.190,.261,.333,.594
Ali Sanchez,TOR,C,29,8,21,2,5,2,0,0,0,0,0,0,5,0,0,0,.238,.238,.333,.571
Luis Campusano,SD,DH,27,10,21,0,0,0,0,0,0,0,0,6,11,0,0,0,.000,.222,.000,.222
Luis Guillorme,HOU,2B,31,12,20,2,3,0,0,0,0,0,0,1,8,0,0,0,.150,.190,.150,.340
Billy McKinney,TEX,OF,31,6,20,4,4,1,0,0,1,0,0,1,1,0,0,0,.200,.238,.250,.488
Ji Hwan Bae,PIT,OF,26,13,20,4,1,0,0,0,0,4,1,5,9,0,0,0,.050,.240,.050,.290
Logan Davidson,ATH,1B,28,9,20,1,3,1,0,0,2,0,0,3,12,1,0,0,.150,.261,.200,.461
David Villar,SF,1B,29,9,20,4,4,1,0,0,1,0,0,4,5,0,0,1,.200,.360,.250,.610
Niko Kavadas,LAA,1B,27,10,20,0,2,0,0,0,0,0,0,3,10,0,0,0,.100,.217,.100,.317
Carlos Santana,CHC,1B,39,8,19,0,2,1,0,0,2,0,0,0,5,0,0,0,.105,.105,.158,.263
Manuel Margot,DET,OF,31,6,19,1,6,0,0,0,3,0,0,0,6,0,1,0,.316,.300,.316,.616
Bobby Dalbec,CWS,1B,30,7,18,2,4,1,0,0,1,0,0,3,6,0,0,0,.222,.333,.278,.611
Jose Azocar,NYM,OF,29,12,18,5,5,0,0,0,1,1,0,2,1,0,0,0,.278,.350,.278,.628
Keston Hiura,COL,1B,29,8,18,3,4,1,0,0,1,0,0,0,7,0,0,3,.222,.333,.278,.611
Nicky Lopez,CHC,3B,31,14,18,2,1,0,0,0,1,0,0,4,3,0,0,0,.056,.227,.056,.283
Garrett Hampson,CIN,OF,31,9,18,0,3,1,0,0,0,0,0,1,6,0,0,0,.167,.211,.222,.433
Connor Kaiser,ARI,2B,29,11,18,1,2,1,0,0,2,0,0,1,5,0,0,0,.111,.158,.167,.325
CJ Alexander,ATH,3B,29,6,17,0,3,0,0,0,0,0,0,0,8,0,0,0,.176,.176,.176,.352
Michael Siani,STL,OF,26,19,17,4,4,0,0,0,0,0,0,2,7,0,0,0,.235,.316,.235,.551
Buddy Kennedy,LAD,3B,27,7,17,1,1,0,0,0,1,0,0,0,5,0,0,1,.059,.111,.059,.170
Akil Baddoo,DET,OF,27,7,17,0,2,1,0,0,1,1,0,1,5,0,0,0,.118,.167,.176,.343
Chadwick Tromp,BAL,C,30,6,16,2,3,1,0,1,1,0,0,0,4,0,0,0,.188,.188,.438,.626
Jack Winkler,MIA,2B,27,14,16,2,4,2,0,0,0,1,0,0,4,0,0,0,.250,.250,.375,.625
Blake Sabol,BOS,C,28,8,16,2,2,1,0,0,1,0,0,1,7,0,1,0,.125,.167,.188,.355
Will Wagner,SD,3B,27,15,15,2,2,0,0,0,0,0,0,2,2,0,0,0,.133,.235,.133,.368
Drew Avans,ATH,OF,29,7,15,1,2,0,0,0,0,1,0,0,5,0,0,0,.133,.133,.133,.266
Rafael Flores,PIT,1B,25,7,15,0,3,2,0,0,0,0,0,2,7,0,0,0,.200,.294,.333,.627
Gage Workman,CHC,3B,26,9,14,0,3,1,0,0,2,1,0,1,6,0,0,0,.214,.267,.286,.553
Brian Navarreto,MIA,C,31,8,14,3,4,2,0,1,5,0,0,0,3,0,1,0,.286,.267,.643,.910
Owen Miller,COL,2B,29,9,14,0,2,0,0,0,1,1,0,2,4,0,0,1,.143,.294,.143,.437
Greg Allen,BAL,OF,33,7,14,1,0,0,0,0,0,0,1,0,5,0,0,0,.000,.000,.000,.000
Tirso Ornelas,SD,OF,26,7,14,0,1,0,0,0,1,0,0,2,2,0,0,0,.071,.188,.071,.259
Travis Jankowski,CWS,OF,34,7,14,1,3,0,0,0,0,0,0,1,3,0,0,0,.214,.267,.214,.481
Tucker Barnhart,TEX,C,35,8,13,0,3,0,0,0,0,0,0,1,4,0,0,1,.231,.333,.231,.564
Ryan Vilade,STL,OF,27,7,13,1,1,0,0,0,0,0,0,2,5,0,0,0,.077,.200,.077,.277
Ryan Noda,BAL,1B,29,7,13,0,2,0,0,0,1,1,0,1,6,0,0,0,.154,.214,.154,.368
Chad Stevens,LAA,2B,27,5,13,1,2,0,0,0,0,0,1,0,7,1,0,0,.154,.154,.154,.308
Cesar Salazar,HOU,C,30,11,13,0,3,0,0,0,1,0,0,2,2,0,0,1,.231,.375,.231,.606
Corey Julks,CWS,OF,30,6,12,2,3,2,0,0,1,0,0,0,3,0,1,0,.250,.231,.417,.648
Jacob Hurtubise,CIN,OF,28,12,12,3,1,0,0,0,0,0,0,1,6,0,0,2,.083,.267,.083,.350
Tristan Peters,TB,OF,26,4,12,0,0,0,0,0,0,0,0,0,7,0,0,0,.000,.000,.000,.000
Bryan Ramos,CWS,3B,24,4,12,1,2,2,0,0,2,0,0,0,4,0,0,0,.167,.167,.333,.500
Sandy Leon,ATL,C,37,5,12,1,1,0,0,1,3,0,0,0,4,0,0,0,.083,.083,.333,.416
Nick Solak,PIT,1B,31,4,11,0,1,0,0,0,0,0,0,0,2,0,0,0,.091,.091,.091,.182
Blaine Crim,TEX,1B,28,5,11,1,0,0,0,0,0,0,0,1,6,0,0,1,.000,.154,.000,.154
Vimael Machin,BAL,3B,32,4,11,1,1,0,0,1,1,0,0,1,2,0,0,0,.091,.167,.364,.531
Kevin Alcantara,CHC,OF,23,10,11,2,4,0,0,0,1,1,0,1,4,0,0,0,.364,.417,.364,.781
Will Brennan,CLE,OF,28,6,11,0,1,0,0,0,0,0,1,1,1,0,0,1,.091,.231,.091,.322
Coco Montes,TB,2B,29,5,10,0,2,0,0,0,1,0,0,0,3,0,0,0,.200,.200,.200,.400
Will Banfield,CIN,C,26,7,10,0,1,0,0,0,0,0,0,0,6,0,0,0,.100,.100,.100,.200
Will Robertson,TOR,OF,28,3,10,0,1,0,0,0,1,0,0,1,7,0,0,1,.100,.250,.100,.350
Justin Foscue,TEX,1B,27,4,9,0,1,1,0,0,2,0,0,0,3,0,0,0,.111,.111,.222,.333
Nick Ahmed,TEX,SS,36,5,9,1,0,0,0,0,0,1,0,1,3,0,0,0,.000,.100,.000,.100
Jon Singleton,HOU,DH,34,3,9,0,1,0,0,0,0,0,0,0,1,0,0,0,.111,.111,.111,.222
J.D. Davis,LAA,1B,32,5,9,0,1,0,0,0,0,0,0,0,3,0,0,0,.111,.111,.111,.222
Connor Joe,SD,OF,33,7,9,0,0,0,0,0,0,0,0,1,6,0,0,0,.000,.100,.000,.100
Carter Kieboom,LAA,1B,28,3,8,0,2,0,0,0,1,0,0,0,1,0,0,0,.250,.250,.250,.500
Samad Taylor,SEA,OF,27,4,8,1,1,0,0,0,0,0,0,0,1,1,0,0,.125,.125,.125,.250
Donovan Walton,PHI,SS,31,2,8,1,1,0,0,0,1,0,0,0,1,1,0,0,.125,.125,.125,.250
Cal Stevenson,PHI,OF,29,5,8,0,2,0,0,0,1,0,0,0,2,0,0,0,.250,.250,.250,.500
Tyler Black,MIL,1B,25,5,8,1,2,1,0,0,1,0,1,5,1,0,0,0,.250,.538,.375,.913
Rhylan Thomas,SEA,OF,25,3,8,2,1,1,0,0,2,0,0,1,0,0,1,0,.125,.200,.250,.450
Jhostynxon Garcia,BOS,OF,23,5,7,0,1,1,0,0,0,0,0,2,5,0,0,0,.143,.333,.286,.619
Tsung-Che Cheng,PIT,SS,24,3,7,0,0,0,0,0,0,0,1,0,3,0,0,0,.000,.000,.000,.000
Logan Porter,SF,C,30,5,7,2,1,0,0,0,1,0,0,1,2,0,0,1,.143,.333,.143,.476
Buddy Kennedy,PHI,3B,27,4,7,0,0,0,0,0,0,0,0,1,2,0,0,0,.000,.125,.000,.125
Omar Narvaez,CWS,C,34,4,7,1,2,0,0,0,3,0,0,2,1,0,1,0,.286,.400,.286,.686
Derek Hill,CWS,OF,30,4,7,0,2,0,0,0,1,0,0,0,2,0,0,1,.286,.375,.286,.661
Dom Nunez,CLE,C,31,2,7,2,2,0,0,0,0,0,0,0,4,0,0,0,.286,.286,.286,.572
Rob Brantly,MIA,C,36,3,7,0,3,0,0,0,1,0,0,0,1,0,0,0,.429,.429,.429,.858
Brett Sullivan,PIT,C,32,3,6,1,1,0,0,0,2,0,0,1,3,0,1,1,.167,.333,.167,.500
Nicky Lopez,LAA,3B,31,5,6,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Dairon Blanco,KC,OF,32,9,6,2,1,1,0,0,1,3,2,0,2,2,0,0,.167,.167,.333,.500
Kody Clemens,PHI,1B,29,7,6,0,0,0,0,0,0,0,0,1,0,0,0,0,.000,.143,.000,.143
Petey Halpin,CLE,OF,23,6,6,5,2,0,0,0,0,0,0,2,2,0,0,0,.333,.500,.333,.833
Tyler Callihan,CIN,OF,25,4,6,0,1,0,0,0,1,0,0,0,1,0,0,0,.167,.167,.167,.334
Cesar Prieto,STL,2B,26,3,6,0,1,0,0,0,0,0,0,0,5,0,0,0,.167,.167,.167,.334
Brett Wisely,ATL,2B,26,4,6,0,0,0,0,0,0,0,0,3,4,0,0,0,.000,.333,.000,.333
Harry Ford,SEA,C,23,8,6,1,1,0,0,0,1,0,0,0,3,0,1,1,.167,.250,.167,.417
Billy Cook,PIT,OF,27,3,6,1,2,0,0,0,0,0,0,0,1,0,0,0,.333,.333,.333,.666
Steward Berroa,MIL,OF,26,2,5,0,0,0,0,0,0,1,0,1,2,0,0,0,.000,.167,.000,.167
Chadwick Tromp,ATL,C,30,2,5,0,0,0,0,0,0,0,0,1,2,0,0,0,.000,.167,.000,.167
Jonathan Ornelas,TEX,SS,25,4,5,0,0,0,0,0,0,0,0,1,3,0,0,0,.000,.167,.000,.167
Jordyn Adams,BAL,OF,26,10,5,1,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Buddy Kennedy,TOR,3B,27,2,5,1,1,1,0,0,0,0,0,1,1,0,0,0,.200,.333,.400,.733
Jonathan Ornelas,ATL,SS,25,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,.500,.500,.500,1.000
Sergio Alcantara,SF,SS,29,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Eddie Rosario,ATL,OF,34,3,4,1,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Eddie Rosario,LAD,OF,34,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,.250,.250,.250,.500
Aramis Garcia,ARI,C,33,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Trey Lipscomb,WSH,3B,25,3,4,1,2,0,0,0,0,0,0,0,1,0,0,0,.500,.500,.500,1.000
C.J. Stubbs,WSH,C,29,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Donovan Solano,TEX,1B,38,2,3,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
Brewer Hicklen,DET,OF,30,1,3,2,2,0,0,0,0,1,0,1,1,0,0,0,.667,.750,.667,1.417
Drew Romo,COL,C,24,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Kenedy Corona,HOU,OF,25,3,2,0,0,0,0,0,0,0,0,2,1,0,0,0,.000,.500,.000,.500
Gage Workman,CWS,3B,26,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Greg Jones,CWS,OF,28,3,2,0,0,0,0,0,0,1,0,0,2,0,0,0,.000,.000,.000,.000
Justin Dean,LAD,OF,29,18,2,0,0,0,0,0,0,1,0,0,1,0,0,0,.000,.000,.000,.000
Ali Sanchez,BOS,C,29,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Hunter Feduccia,LAD,C,28,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,.000,.333,.000,.333
Drew Avans,MIL,OF,29,1,2,0,0,0,0,0,1,0,0,0,1,0,1,0,.000,.000,.000,.000
Cooper Hummel,BAL,OF,31,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000
Jose Azocar,ATL,OF,29,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Garrett Stubbs,PHI,DH,32,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
David Banuelos,BAL,C,29,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,.000,.500,.000,.500
Vidal Brujan,BAL,3B,28,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000
Terrin Vavra,BAL,2B,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Chuckie Robinson,LAD,C,31,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Travis Jankowski,NYM,OF,34,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
